Rank,Team,2024,Last 3,Last 1,Home,Away,2023
271,Saint Louis,0.3,0.369,0.362,0.343,0.262,0.363
272,Duquesne,0.3,0.246,0.231,0.318,0.283,0.325
273,Delaware,0.3,0.387,0.288,0.29,0.306,0.309
274,Kent St,0.299,0.264,0.263,0.301,0.298,0.319
275,NC Greensboro,0.298,0.555,0.5,0.332,0.277,0.273
276,Mercer,0.298,0.337,0.207,0.304,0.294,0.277
277,Vermont,0.298,0.267,0.259,0.315,0.284,0.292
278,Louisiana,0.298,0.217,0.241,0.31,0.285,0.286
279,Texas Tech,0.297,0.353,0.492,0.306,0.287,0.342
280,Cal Baptist,0.297,0.267,0.276,0.333,0.262,0.368
281,UCSB,0.297,0.393,0.283,0.315,0.28,0.397
282,Richmond,0.297,0.232,0.208,0.338,0.262,0.276
283,Campbell,0.297,0.221,0.183,0.342,0.268,0.337
284,Stanford,0.297,0.228,0.214,0.337,0.25,0.286
285,N Arizona,0.296,0.282,0.29,0.343,0.269,0.311
286,Rider,0.296,0.225,0.186,0.256,0.319,0.319
287,Providence,0.296,0.182,0.052,0.34,0.254,0.318
288,Albany,0.295,0.254,0.397,0.288,0.3,0.292
289,Columbia,0.295,0.295,0.344,0.267,0.328,0.293
290,American,0.295,0.263,0.25,0.316,0.275,0.284
291,Wagner,0.293,0.264,0.298,0.337,0.266,0.264
292,Samford,0.293,0.489,0.242,0.214,0.37,0.362
293,Loyola MD,0.293,0.314,0.29,0.307,0.281,0.300
294,Davidson,0.292,0.228,0.091,0.318,0.266,0.335
295,Alabama St,0.291,0.146,0.057,0.332,0.274,0.285
296,Purdue FW,0.291,0.285,0.323,0.362,0.244,0.298
297,UTSA,0.29,0.313,0.286,0.293,0.288,0.350
298,Loyola Mymt,0.29,0.341,0.475,0.293,0.287,0.288
299,Little Rock,0.29,0.365,0.442,0.243,0.321,0.328
300,Lamar,0.29,0.318,0.262,0.264,0.305,0.332
301,Detroit Mercy,0.289,0.305,0.421,0.294,0.287,0.303
302,Austin Peay,0.289,0.24,0.327,0.301,0.283,0.319
303,Penn,0.289,0.299,0.236,0.29,0.288,0.270
304,Texas So,0.289,0.249,0.333,0.284,0.292,0.311
305,Santa Clara,0.289,0.346,0.25,0.306,0.274,0.316
306,SE Missouri St,0.289,0.37,0.217,0.328,0.262,0.270
307,Villanova,0.289,0.473,0.532,0.272,0.307,0.268
308,Tenn Tech,0.288,0.249,0.204,0.307,0.277,0.310
309,W Georgia,0.288,0.353,0.359,0.269,0.299,--
310,C Arkansas,0.288,0.266,0.211,0.298,0.282,0.293
311,UC Riverside,0.287,0.379,0.313,0.328,0.259,0.286
312,Cornell,0.286,0.279,0.308,0.294,0.28,0.280
313,Creighton,0.285,0.286,0.267,0.302,0.268,0.247
314,Towson,0.284,0.322,0.371,0.289,0.281,0.347
315,Jacksonville,0.282,0.374,0.276,0.299,0.271,0.363
316,Clemson,0.282,0.299,0.246,0.299,0.263,0.307
317,Houston,0.282,0.4,0.197,0.262,0.301,0.308
318,Maine,0.282,0.32,0.351,0.324,0.26,0.299
319,Miami OH,0.281,0.31,0.088,0.29,0.274,0.303
320,Northeastern,0.28,0.28,0.382,0.269,0.288,0.298
321,E Texas A&M,0.28,0.29,0.321,0.283,0.278,0.308
322,Brown,0.28,0.247,0.271,0.296,0.263,0.330
323,Iona,0.279,0.277,0.224,0.297,0.265,0.285
324,Kansas St,0.276,0.287,0.228,0.315,0.244,0.383
325,LIU,0.276,0.247,0.4,0.292,0.265,0.315
326,Incarnate Word,0.275,0.347,0.224,0.308,0.252,0.371
327,DePaul,0.274,0.273,0.143,0.287,0.256,0.335
328,NJIT,0.274,0.314,0.21,0.263,0.281,0.312
329,W Illinois,0.272,0.292,0.183,0.334,0.225,0.356
330,Wright St,0.27,0.136,0.054,0.295,0.253,0.336
331,W Carolina,0.27,0.285,0.283,0.309,0.244,0.277
332,Cal Poly,0.268,0.23,0.159,0.279,0.262,0.313
333,Akron,0.268,0.346,0.271,0.267,0.269,0.327
334,Chicago St,0.268,0.192,0.264,0.35,0.232,0.382
335,Georgia So,0.265,0.23,0.323,0.256,0.271,0.289
336,Bellarmine,0.265,0.272,0.17,0.273,0.258,0.214
337,New Hampshire,0.264,0.216,0.2,0.261,0.266,0.298
338,Miami,0.264,0.166,0.23,0.282,0.243,0.246
339,Virginia,0.264,0.233,0.19,0.238,0.293,0.253
340,Sacred Heart,0.263,0.245,0.365,0.261,0.265,0.317
341,Marquette,0.261,0.27,0.305,0.283,0.236,0.255
342,Belmont,0.261,0.229,0.12,0.26,0.261,0.303
343,Iowa,0.26,0.198,0.141,0.269,0.25,0.331
344,E Kentucky,0.26,0.23,0.328,0.288,0.244,0.320
345,C Connecticut,0.259,0.219,0.143,0.277,0.244,0.330
346,Army,0.258,0.285,0.121,0.299,0.22,0.254
347,Georgetown,0.258,0.249,0.345,0.276,0.231,0.339
348,West Virginia,0.256,0.253,0.353,0.272,0.24,0.371
349,Fairfield,0.254,0.215,0.103,0.256,0.253,0.284
350,Hofstra,0.253,0.202,0.148,0.243,0.26,0.223
351,N Florida,0.248,0.199,0.158,0.277,0.23,0.283
352,Princeton,0.246,0.17,0.053,0.22,0.264,0.283
353,Merrimack,0.244,0.193,0.245,0.223,0.259,0.343
354,Harvard,0.244,0.156,0.21,0.206,0.272,0.357
