Rank,Team,2024,Last 3,Last 1,Home,Away,2023
279,Baylor,68.2,61.6,62.3,69.7,67.0,69.7
280,Fairfield,68.2,73.9,74.8,67.8,68.6,70.2
281,Montana St,68.2,66.2,65.1,68.6,68.0,71.3
282,George Mason,68.1,68.9,69.8,68.7,67.4,66.5
283,Charlotte,68.1,66.3,65.9,67.1,69.0,65.0
284,Maine,68.1,68.0,74.6,66.7,68.8,69.2
285,Alcorn St,68.0,66.0,69.4,66.4,68.7,70.0
286,Liberty,68.0,64.3,62.6,68.6,67.6,67.5
287,Clemson,68.0,69.4,67.2,69.2,66.7,69.7
288,Missouri St,67.9,64.3,63.9,69.0,67.1,70.8
289,LIU,67.9,66.4,65.2,66.4,69.1,73.3
290,Lafayette,67.9,66.4,66.5,67.5,68.4,67.9
291,Grambling,67.9,69.2,65.6,64.4,69.5,68.2
292,Hampton,67.9,66.0,67.6,67.2,68.2,71.7
293,Presbyterian,67.8,66.6,67.0,67.8,67.8,70.6
294,The Citadel,67.8,67.5,70.0,68.1,67.5,68.1
295,Miss Valley St,67.8,66.0,70.1,67.3,68.0,67.8
296,Cincinnati,67.7,73.3,65.5,67.4,68.1,70.9
297,Weber St,67.7,67.5,69.5,67.1,68.1,67.5
298,Oakland,67.7,71.5,73.2,68.7,67.1,70.4
299,West Virginia,67.7,69.3,64.5,66.8,68.8,70.5
300,C Connecticut,67.7,69.9,65.6,68.0,67.4,69.3
301,Campbell,67.7,68.8,67.5,67.7,67.6,68.7
302,New Mexico St,67.6,64.1,69.3,67.3,67.9,70.0
303,Jacksonville St,67.6,65.8,71.5,67.9,67.5,68.1
304,Holy Cross,67.6,70.8,67.0,67.8,67.5,66.9
305,IU Indy,67.6,65.4,65.4,67.9,67.4,70.2
306,Davidson,67.6,67.3,70.7,66.3,69.0,68.1
307,J Madison,67.6,71.7,69.5,67.2,67.9,73.6
308,Canisius,67.6,68.0,70.1,65.8,68.9,69.9
309,Purdue,67.6,64.0,61.8,68.7,66.6,70.1
310,UCLA,67.6,66.0,61.3,67.9,67.2,66.2
311,Duquesne,67.5,69.1,65.5,68.0,67.0,68.4
312,Illinois St,67.4,70.2,76.4,67.7,67.2,66.6
313,UNLV,67.4,67.1,61.8,66.7,68.4,67.8
314,Tennessee,67.4,64.4,60.9,69.1,65.8,71.6
315,NC State,67.4,69.7,71.3,68.0,66.5,70.8
316,McNeese,67.3,65.9,67.2,66.5,68.0,68.1
317,FGCU,67.3,69.7,65.2,67.8,66.8,67.1
318,Elon,67.3,64.7,61.7,67.8,67.0,69.0
319,W Illinois,67.3,72.4,72.0,67.8,66.9,68.4
320,UConn,67.3,61.7,58.2,68.1,66.5,67.9
321,Boise St,67.2,63.1,62.3,68.1,66.6,68.3
322,Kansas City,67.2,64.9,65.8,66.5,67.7,70.0
323,E Tennessee St,67.2,64.3,61.4,67.6,66.8,70.2
324,Wyoming,67.2,64.0,66.6,68.5,66.0,69.9
325,Minnesota,67.1,71.1,67.7,67.3,66.9,70.1
326,S Alabama,67.0,66.1,69.9,67.2,66.9,72.4
327,Seton Hall,67.0,65.2,64.8,66.8,67.3,70.0
328,Hofstra,67.0,65.1,64.8,67.5,66.7,68.5
329,Sacramento St,67.0,65.6,64.1,66.0,67.8,66.2
330,Stonehill,67.0,68.5,66.0,65.9,67.7,71.0
331,Niagara,66.9,67.4,65.6,65.9,67.7,69.3
332,N Iowa,66.9,66.6,73.3,67.3,66.6,69.3
333,Richmond,66.9,68.7,64.8,67.3,66.6,68.7
334,Saint Peter's,66.9,68.8,70.1,66.6,67.1,67.4
335,Incarnate Word,66.9,70.1,76.1,67.4,66.5,73.6
336,Oregon St,66.9,62.9,66.4,66.7,67.1,69.4
337,Morehead St,66.8,64.8,71.5,65.7,67.6,67.3
338,Nevada,66.8,66.8,63.8,66.8,66.8,68.5
339,Rider,66.8,64.6,63.1,65.7,67.4,70.7
340,Drexel,66.8,62.4,63.5,68.1,65.9,67.6
341,NC Greensboro,66.7,67.9,63.9,66.6,66.8,68.3
342,St Bonaventure,66.7,67.4,70.2,66.3,67.0,68.0
343,Merrimack,66.6,67.0,60.6,65.1,67.5,70.0
344,NW State,66.6,64.1,65.1,66.4,66.7,71.5
345,Marist,66.5,64.6,67.8,66.9,66.2,66.6
346,Wofford,66.5,63.3,60.9,66.8,66.4,69.4
347,Air Force,66.5,65.3,67.3,66.4,66.7,65.0
348,Mercyhurst,66.4,65.8,66.4,66.8,66.2,--
349,Towson,66.4,65.7,70.4,65.9,66.7,65.6
350,Hou Christian,66.4,63.5,63.2,66.7,66.2,74.9
351,Stony Brook,66.3,63.2,63.8,65.4,67.0,70.5
352,Boston U,66.3,66.2,66.6,67.5,65.1,67.9
353,Radford,66.2,63.0,59.3,67.3,65.5,67.7
354,Coastal Car,66.0,64.9,65.2,64.4,67.1,73.4
355,App State,66.0,63.4,59.7,68.7,64.0,72.1
356,Houston,65.7,66.5,67.1,64.5,66.8,66.4
357,American,65.6,65.2,66.4,66.5,65.0,64.6
358,Saint Mary's,65.6,62.6,66.7,66.0,65.3,66.0
359,Vermont,65.4,64.8,65.6,64.8,65.8,66.7
360,Villanova,65.2,63.0,60.0,65.3,65.0,67.4
361,Virginia,62.9,66.4,67.1,61.3,64.8,63.3
362,Wagner,62.8,61.0,64.0,62.7,62.8,65.0
363,N Texas,62.1,61.6,58.5,61.2,63.1,65.2
364,Drake,62.0,60.3,64.9,61.0,62.8,71.3
