Rank,Team,2024,Last 3,Last 1,Home,Away,2023
203,Hawai'i,0.337,0.296,0.274,0.348,0.321,0.336
204,Navy,0.338,0.381,0.25,0.339,0.336,0.357
205,Chattanooga,0.338,0.31,0.368,0.306,0.364,0.273
206,UT Martin,0.339,0.302,0.31,0.382,0.319,0.246
207,Alabama,0.339,0.398,0.389,0.281,0.389,0.388
208,Lehigh,0.339,0.524,0.51,0.333,0.343,0.296
209,W Carolina,0.34,0.358,0.431,0.337,0.342,0.324
210,NC Greensboro,0.34,0.521,0.364,0.333,0.344,0.358
211,SF Austin,0.341,0.286,0.308,0.292,0.387,0.474
212,CS Fullerton,0.341,0.207,0.357,0.332,0.348,0.356
213,American,0.341,0.132,0.175,0.289,0.39,0.298
214,Houston,0.341,0.241,0.211,0.318,0.362,0.394
215,UT Arlington,0.343,0.383,0.492,0.266,0.392,0.420
216,E Tennessee St,0.343,0.317,0.638,0.333,0.351,0.367
217,N Arizona,0.343,0.394,0.773,0.349,0.339,0.374
218,Jacksonville,0.345,0.412,0.569,0.284,0.386,0.404
219,Wright St,0.345,0.315,0.491,0.3,0.378,0.300
220,UCLA,0.346,0.281,0.224,0.325,0.369,0.358
221,Evansville,0.346,0.278,0.236,0.311,0.379,0.283
222,Albany,0.347,0.294,0.338,0.352,0.343,0.389
223,Morehead St,0.347,0.435,0.452,0.277,0.391,0.323
224,Incarnate Word,0.347,0.368,0.596,0.361,0.338,0.407
225,Lindenwood,0.347,0.287,0.281,0.302,0.374,0.402
226,Lamar,0.348,0.344,0.563,0.305,0.372,0.392
227,Colorado,0.348,0.416,0.633,0.309,0.395,0.273
228,Bellarmine,0.349,0.233,0.108,0.347,0.35,0.319
229,Norfolk St,0.349,0.253,0.194,0.281,0.378,0.433
230,Portland St,0.349,0.395,0.569,0.293,0.385,0.347
231,USC,0.349,0.281,0.418,0.37,0.324,0.316
232,New Mexico,0.35,0.287,0.442,0.316,0.38,0.334
233,Old Dominion,0.35,0.358,0.475,0.346,0.353,0.397
234,IU Indy,0.351,0.2,0.263,0.331,0.362,0.334
235,South Dakota,0.352,0.387,0.381,0.35,0.353,0.273
236,Kansas City,0.352,0.331,0.407,0.358,0.348,0.451
237,Long Beach St,0.352,0.329,0.161,0.338,0.362,0.323
238,Missouri,0.353,0.469,0.418,0.288,0.457,0.424
239,Texas A&M,0.353,0.384,0.431,0.369,0.339,0.319
240,N Colorado,0.354,0.487,0.609,0.304,0.386,0.291
241,Bucknell,0.354,0.561,0.84,0.34,0.366,0.315
242,Southern Miss,0.354,0.382,0.213,0.317,0.381,0.330
243,Green Bay,0.354,0.328,0.261,0.353,0.354,0.342
244,Mississippi St,0.354,0.485,0.509,0.306,0.397,0.318
245,Air Force,0.354,0.41,0.51,0.34,0.369,0.391
246,Valparaiso,0.354,0.432,0.56,0.374,0.338,0.307
247,Bradley,0.355,0.374,0.5,0.308,0.394,0.351
248,William & Mary,0.355,0.35,0.35,0.327,0.373,0.349
249,Murray St,0.355,0.396,0.542,0.304,0.381,0.277
250,S Indiana,0.356,0.374,0.453,0.317,0.391,0.486
251,Iona,0.356,0.269,0.212,0.391,0.331,0.375
252,Idaho,0.357,0.213,0.164,0.351,0.36,0.372
253,Oklahoma,0.358,0.335,0.367,0.285,0.433,0.311
254,Drake,0.358,0.257,0.317,0.331,0.38,0.313
255,Youngstown St,0.358,0.353,0.452,0.346,0.366,0.307
256,Rice,0.359,0.423,0.773,0.33,0.382,0.274
257,St Thomas,0.359,0.381,0.474,0.299,0.392,0.290
258,Nicholls,0.359,0.303,0.481,0.365,0.355,0.394
259,San Francisco,0.359,0.394,0.508,0.316,0.398,0.379
260,Stanford,0.36,0.254,0.327,0.359,0.361,0.253
261,Austin Peay,0.36,0.315,0.417,0.329,0.377,0.379
262,Monmouth,0.361,0.379,0.582,0.257,0.411,0.333
263,VCU,0.361,0.307,0.339,0.311,0.402,0.341
264,Texas So,0.362,0.285,0.431,0.312,0.386,0.401
265,Utah St,0.362,0.638,0.881,0.338,0.385,0.306
266,Washington,0.362,0.351,0.545,0.372,0.349,0.331
267,Oklahoma St,0.362,0.294,0.29,0.324,0.395,0.276
268,Wofford,0.362,0.436,0.357,0.409,0.338,0.346
269,W Georgia,0.363,0.387,0.298,0.389,0.348,--
270,High Point,0.363,0.269,0.167,0.342,0.381,0.372
271,Temple,0.364,0.46,0.455,0.359,0.367,0.360
272,Ohio,0.364,0.4,0.538,0.367,0.362,0.347
273,SE Louisiana,0.365,0.209,0.266,0.393,0.351,0.302
274,E Texas A&M,0.365,0.361,0.327,0.366,0.364,0.392
275,UMass,0.366,0.374,0.74,0.311,0.417,0.386
276,Northwestern,0.366,0.456,0.434,0.315,0.421,0.393
277,S Florida,0.367,0.355,0.35,0.361,0.371,0.346
278,Seattle,0.367,0.387,0.426,0.313,0.404,0.358
279,Le Moyne,0.369,0.317,0.281,0.331,0.392,0.278
280,Radford,0.369,0.25,0.365,0.44,0.331,0.317
281,Coastal Car,0.369,0.314,0.306,0.322,0.4,0.295
282,Chicago St,0.369,0.238,0.076,0.386,0.363,0.360
283,Charlotte,0.37,0.459,0.638,0.345,0.391,0.315
284,Pacific,0.371,0.377,0.536,0.357,0.381,0.364
285,Boston College,0.371,0.358,0.45,0.317,0.436,0.281
286,Winthrop,0.371,0.419,0.096,0.374,0.37,0.343
287,Richmond,0.371,0.487,0.458,0.328,0.412,0.266
288,Coppin St,0.371,0.324,0.258,0.434,0.341,0.383
289,Weber St,0.372,0.321,0.283,0.364,0.377,0.293
290,San Diego St,0.372,0.408,0.304,0.342,0.398,0.331
291,Gardner-Webb,0.372,0.324,0.45,0.411,0.352,0.393
292,Florida St,0.375,0.305,0.373,0.336,0.413,0.410
293,Florida Intl,0.375,0.271,0.377,0.357,0.388,0.359
294,Saint Peter's,0.376,0.287,0.131,0.311,0.421,0.425
295,Arkansas St,0.376,0.511,0.65,0.307,0.428,0.348
296,Omaha,0.377,0.37,0.387,0.31,0.411,0.322
297,Little Rock,0.379,0.465,0.58,0.265,0.455,0.353
298,Nevada,0.379,0.421,0.392,0.322,0.444,0.342
299,Hofstra,0.38,0.417,0.462,0.413,0.362,0.290
300,Cleveland St,0.381,0.323,0.46,0.315,0.447,0.374
301,Oral Roberts,0.382,0.232,0.164,0.375,0.387,0.323
302,Longwood,0.383,0.427,0.627,0.375,0.389,0.364
303,Mercyhurst,0.383,0.356,0.288,0.342,0.406,--
304,Miss Valley St,0.384,0.444,0.481,0.36,0.394,0.416
305,Missouri St,0.385,0.255,0.255,0.333,0.427,0.249
306,E Michigan,0.385,0.476,0.5,0.322,0.434,0.315
307,NJIT,0.386,0.461,0.667,0.335,0.421,0.397
308,Alabama St,0.387,0.313,0.278,0.417,0.374,0.434
309,Indiana St,0.388,0.453,0.119,0.315,0.435,0.259
310,Vanderbilt,0.39,0.554,0.63,0.358,0.428,0.295
311,Morgan St,0.391,0.364,0.228,0.404,0.383,0.414
312,Kent St,0.392,0.297,0.339,0.388,0.395,0.349
313,Fordham,0.392,0.45,0.5,0.354,0.427,0.451
314,UC Davis,0.392,0.309,0.143,0.384,0.397,0.384
315,New Mexico St,0.392,0.419,0.569,0.377,0.403,0.448
316,Auburn,0.392,0.407,0.574,0.348,0.43,0.415
317,Sacramento St,0.392,0.287,0.283,0.37,0.41,0.327
318,Presbyterian,0.393,0.339,0.464,0.378,0.4,0.420
319,Texas,0.393,0.571,0.648,0.36,0.428,0.340
320,Tennessee St,0.393,0.203,0.241,0.353,0.421,0.443
321,Mississippi,0.394,0.4,0.294,0.313,0.472,0.323
322,N Texas,0.395,0.521,0.339,0.355,0.429,0.386
323,Duquesne,0.395,0.251,0.18,0.381,0.408,0.350
324,SC Upstate,0.395,0.249,0.299,0.429,0.375,0.450
325,Seton Hall,0.397,0.454,0.682,0.377,0.416,0.256
326,E Illinois,0.397,0.353,0.346,0.424,0.38,0.375
327,E Washington,0.397,0.439,0.204,0.413,0.387,0.335
328,Detroit Mercy,0.398,0.494,0.419,0.356,0.424,0.319
329,Wagner,0.399,0.35,0.118,0.4,0.398,0.302
330,Florida A&M,0.399,0.488,0.592,0.379,0.409,0.385
331,Ohio St,0.399,0.375,0.189,0.363,0.441,0.299
332,UTEP,0.4,0.371,0.127,0.343,0.446,0.463
333,UConn,0.4,0.405,0.36,0.336,0.461,0.311
334,NC Asheville,0.401,0.4,0.468,0.358,0.424,0.343
335,Delaware St,0.403,0.5,0.5,0.424,0.392,0.361
336,Texas A&M-CC,0.404,0.368,0.385,0.331,0.461,0.473
337,AR-Pine Bluff,0.405,0.281,0.231,0.431,0.391,0.325
338,Prairie View,0.405,0.239,0.364,0.385,0.412,0.466
339,W Kentucky,0.406,0.387,0.561,0.351,0.47,0.330
340,Maryland ES,0.406,0.486,0.404,0.479,0.38,0.378
341,Howard,0.409,0.476,0.306,0.43,0.397,0.384
342,Marshall,0.409,0.448,0.439,0.369,0.446,0.299
343,Wyoming,0.411,0.545,0.457,0.426,0.399,0.278
344,Utah Tech,0.411,0.584,0.538,0.393,0.423,0.432
345,Texas St,0.416,0.411,0.3,0.382,0.44,0.383
346,Samford,0.418,0.65,0.592,0.338,0.488,0.374
347,NC Central,0.42,0.341,0.382,0.39,0.436,0.371
348,Southern,0.423,0.329,0.441,0.369,0.448,0.462
349,Kennesaw St,0.426,0.35,0.364,0.43,0.424,0.432
